"URL","NOMBRE","DESCRIPCION","EMPRESA","LUGAR DE TRABAJO","PUBLICADO","TIPO CONTRATO","AREA"
"https://www.zonajobs.com.ar/empleos/analista-jr.-control-de-gestion-planta-burzaco-programa-jovenes-profesionales-molinos-rio-de-la-plata-1889772.html?indiceAviso=0","Analista Jr. Control de Gestión -  Planta Burzaco - Programa Jóvenes Profesionales","Si tenes espíritu emprendedor te apropias de tus desafios y queres generar impacto en una empresa de marcas líderes ¡Te estamos buscando! El Programa te ofrece una posición efectiva en el área de Control de Gestión en la Planta Burzaco. Las principales tareas serán:- Determinar analizar y hacer seguimiento de costos de ventas- Valuación de inventarios- Armado de proyecciones de costos mensuales trimestrales y anuales- Gestionar las proyecciones de costos para anticipar desvíos en los márgenes facilitando la toma de decisiones.- Identificación y Seguimiento de Stocks inmovilizados de baja rotación.- Análisis del Working Capital de bienes de cambio y respectivas variaciones. El programa ademas contempla: - Capacitaciones actividades y talleres de desarrollo.- Induccion al negocio exposición e interacción con áreas core del negocio.-A los 10 meses presentacion de un proyecto innovador a los máximos referentes y Directores de Molinos. Si estás Graduado o próximo a graduarte de las carreras de Ciencias Ecónomicas Contador Público o afines y tenes experiencia y/o conocimientos en Contablidad General  Control de Gestión (no excluyente) Postulate!!

			El contenido de este aviso es de propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Zonajobs sea responsable por ello.","Molinos Río de la Plata","Burzaco Buenos Aires","Publicado hace 2 días","Full-time","Control de Gestión"
"https://www.zonajobs.com.ar/empleos/supervisor-de-desarrollo-1889749.html?indiceAviso=1","SUPERVISOR DE DESARROLLO","Nuestra búsqueda se orienta a  un profesional del área Farmacéutico con experiencia comprobable no menor a tres años en el área de Control de Calidad obtenidos preferentemente en la industria farmaceútica y  que posea conocimientos de Desarrollo Analítico y Galénico.Nos orientamos a una persona proactiva con competencias de liderazgo y habilidades comunicacionales.Que sea capaz de coordinar equipos de trabajo con capacidad de análisis y orientado a resultados. Sus principales funciones serán: Gestionar las actividades del área de DesarrolloLiderar su equipo de trabajo cumpliendo las normas de GLP y GMPEmitir y Revisar los procedimientos y la documentación del área Optimizar los recursos para obtener una mejora continua del sector. Quienes estén interesados enviar CV con detalle de remuneración pretendida

			El contenido de este aviso es de propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Zonajobs sea responsable por ello.","Confidencial","Martínez Buenos Aires","Publicado hace 2 días","Full-time","Farmacia industrial"
"https://www.zonajobs.com.ar/empleos/ejecutivo-de-ventas-para-desarrollarse-como-agente-inmobiliario-zona-lanus-re-max-titanium-1889713.html?indiceAviso=2","Ejecutivo de ventas para desarrollarse como Agente Inmobiliario - zona Lanús","¡Sumate a nuestro equipo de negocios Inmobiliarios!En RE/MAX TITANIUM  estamos consolidando el mejor equipo inmobiliario de Zona Sur en Lanús Centro.Buscamos Perfiles Comerciales Independientes para desarrollar tu propio negocio con el respaldo de la marca líder en el mercado inmobiliario. Te ofrecemos capacitaciones constantes reuniones de negocio y talleres para estar actualizado. Todo para que logres las metas que querés! Te brindamos la oportunidad de tener tu propio NEGOCIO no es un trabajo en relación de dependencia. Beneficios de ser Agente RE/MAX:• Ambiente de trabajo óptimo para desarrollar al máximo tu potencial• Clima laboral de excelencia rodeado de los mejores profesionales• Libertad para administrar tus horarios y tareas• Las más altas comisiones del mercado y en dólares• Formación permanente en áreas blandas y duras• Máxima oportunidad de crecimiento económico y desarrollo profesional• Premios Nacionales e Internacionales por cumplimiento de objetivos• El apoyo de la red con más de Agentes Inmobiliarios del mundo Requisitos que son Excluyentes:• Marcado Perfil Comercial y de Negocios• Residir en zona sur de GBA o CABA sur • Edad: 25 a 60 años.• Educación: TERCIARO / UNIVERSITARIO (deseable)• Movilidad Propia (deseable) 

			El contenido de este aviso es de propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Zonajobs sea responsable por ello.","RE/MAX TITANIUM","Lanús Oeste Buenos Aires","Publicado hace 3 días","Full-time","Ventas"
"https://www.zonajobs.com.ar/empleos/asesora-territorial-para-su-unidad-de-negocios-de-patient-support-program-importante-empresa-de-servicios-1889538.html?indiceAviso=12","Asesora Territorial para su Unidad de Negocios de Patient Support Program","Empresa líder en la prestación de servicios para  la industria farmacéutica incorporará un Asesor Territorial para su Unidad de Negocios de Patient Support Program.Sus principales responsabilidades serán:Ø Informar y acompañar al paciente sobre gestiones ante agentes de Salud. Ø Ser el nexo operativo con los clientes (Laboratorios) procurando atender sus necesidades de gestión e información ad hoc en tiempo y forma. Ø Reuniones semanales con el área de acceso del cliente.Ø  Reuniones de seguimiento con el áerea de Marketing. Requisitos para el puesto:Graduado universitarios de las carreras de Trabajo Social. Experiencia en el rubro de la salud. Experiencia con entidades como PAMI. Excelente nivel de relacionamiento. Manejo avanzado de herramientas de planificación y control.Competencias requeridas:Ser una persona proactiva con habilidad analítica orientación al cliente y a resultados. Buenas relaciones interpersonales. 

			El contenido de este aviso es de propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Zonajobs sea responsable por ello.","Importante Empresa de Servicios","Capital Federal Buenos Aires","Publicado hace 11 días","Full-time","Salud"
"https://www.zonajobs.com.ar/empleos/desarrollador-especialista-visual-basic-practia-global-1889474.html?indiceAviso=18","Desarrollador Especialista Visual Basic","Practia busca Especialista en Tecnologia (Visual Basic) Tareas:Dar asistencia y capacitar al equipo de desarrollo durante el proyectoResolver complejidades técnicas que surjan durante el proyecto.Definir y transmitir buenas prácticas de desarrollo hacia el equipo: ALM gestión del código automatización etc.Especificar soluciones técnicas hacia el cliente en base a requerimientos recibidos.Colaborar con capacitación formal de equipos de desarrollo en las tecnologías principales del servicio o en otras cuestiones técnicas. Requisitos: Graduado o estudiante avanzado de carreras técnicas en sistemas (Licenciaturas Ingenierías Tecnicaturas etc.Conocimientos exluyentes en Visual Basic 5 SQL Server Framework .NET Arquitectura orientada a servicios SOAPConocimientos deseables : IBM Integration Bus .NET Web API Frameworks de IoC Te ofrecemos:La posibilidad de crecer profesionalmente en un ambiente dinámico y flexible.Capacitación técnica relacionada con el perfil.Capacitación en herramientas de gestión liderazgo y tecnologías.Hasta 20 días de licencia por estudio al año.Descuentos en Universidades e Instituciones Tecnológicas.Clases de Inglés In company o por Skype.Descuentos en gimnasios y lugares de comida.  Somos la empresa de tecnología y negocios más prestigiosa de Iberoamérica. Nuestra red regional permite responder rápidamente a la demanda con especialistas en cada problemática y aplicando innovación tecnológica a cada negocio.

			El contenido de este aviso es de propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Zonajobs sea responsable por ello.","Practia Global","Capital Federal Buenos Aires","Publicado hace 13 días","Full-time","Programación"
"https://www.zonajobs.com.ar/empleos/analista-programador-java-junior-ssr-accusys-technology-1886722.html?indiceAviso=20","Analista Programador Java Junior/SSr","Somos una de las principales empresas de la región dedicada a desarrollar y mantener aplicaciones de software para la innovación y mejora de la gestión con una oferta de soluciones y servicios avanzados propios e integrados de terceras partes asociadas de alto valor añadido en tecnología que permiten a nuestros clientes resolver sus asuntos mas críticos y mejorar sus procesos eficiencia rentabilidad y diferenciación.   Con una fuerte presencia en 5 países de la región para otorgar a nuestros clientes apoyo y soporte constante desarrollamos soluciones tecnológicas integrales en industrias como Banca Financiera Seguros manufactura Gobierno entre otros.   Contamos con un equipo de más de 250 profesionales altamente capacitados que gracias a su capacidad multidisciplinaria y especialización permite acercar soluciones innovadoras a los desafíos de nuetros clientes de todos los mercados.  En Accusys Technology líder regional en el desarrollo y mantenimiento de aplicaciones de software nos encontramos en la búsqueda de un Programador Java Junior/Semi Sr para incorporar a nuestra Empresa.*Funciones:*Participará en el análisis diseño y desarrollo de soluciones técnicas.Requisitos: *Requisitos excluyentes:* Javascript  CSS UML*Spring Framework*SQL e Hibernate*Maven /Gradle*Web Service*J2EE/Java *Requisitos deseables:*GWT o similares.*TDD integración continua*Metodologías Agiles*Unit Testing (JUnit Mockito)*GIT/GITHub*Tomcat/Jboss /Websphere*Arquitectura de Micro servicios.*HTML 5/CSS*Angular/React*Java script /CSS*Junit/Mockito * Estudios: Estudiante o graduado de Sistemas o afines.* Experiencia: sin experiencia.* Horario: Lunes a viernes de 9:00 a 18:00 hs.* Lugar: Microcentro Capital Federal Argentina.Beneficios: Te ofrecemos:Prepaga para grupo familiarRed de clubes con 60 % de descuentoInglés In CompanyTrabajo remoto. 

			El contenido de este aviso es de propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Zonajobs sea responsable por ello.","Accusys Technology","Capital Federal Buenos Aires","Publicado hace 16 días","Full-time","Tecnologia / Sistemas"
"https://www.zonajobs.com.ar/empleos/programador-full-stack-selecta-1884467.html?indiceAviso=21","Programador Full Stack","Grupo Fixon se encuentra en la búsqueda de Programador Full Stack para sumar a si equipo. Será responsable de todo el manejo del funcionamiento de las plataformas de la compañía. Requisitos:Experiencia en la posición mínimo 2 años (excluyente)Conocimiento y manejo de lenguajes: Curl APIs HTTP PHP HTML5 MYSQL CSS JAVASCRIPT.Se valoran tener conocimientos en: JQUERY BootstrapCompetencias: Autonomía capacidad de resolver desafíos antes nuevos proyectos predisposición y capacidad para el aprendizaje constanteDisponibilidad full time de Lunes a ViernesZona de trabajo: Barracas Beneficios:Excelentes condiciones de contrataciónDías home office semanalPosibilidades de crecimiento y desarrollo dentro de la compañia 

			El contenido de este aviso es de propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Zonajobs sea responsable por ello.","SELECTA","Capital Federal Buenos Aires","Publicado hace 16 días","Full-time","Programación"
"https://www.zonajobs.com.ar/empleos/software-engineer-labs-navent-1889301.html?indiceAviso=29","Software Engineer LABS","¿Conocés Navent? Navent es la empresa multinacional líder dueña de ZonaProp ZonaJobs Bumeran y más de 30 marcas con presencia en 8 países de la región. Nuestro principal objetivo es que las personas logren dos de los anhelos más importantes de su vida: encontrar un empleo y un hogar. Por eso todxs los que elegimos trabajar en Navent formamos equipos dinámicos orientados  a resultados innovadores y en constante crecimiento que dan lugar a un excelente clima laboral y oportunidades de desarrollo de carrera Si te sumas vas a encontrar un ambiente 100% digital desafiante donde te haces dueño de los proyectos como propios  donde todos los días se puede aprender y agregar valor.  En Navent seguimos ampliando los equipos! Te interesa resolver problemas y proponer ideas? ENTONCES SEGUI LEYENDO!!Desarrollamos principalmente en Java 1.8 con Spring Boot y utilizamos diversas BBDD como ser MySql MongoDB Cassandra Redis ElasticSearch. Nuestras aplicaciones se encuentran en una arquitectura API REST e interactuan a traves de Apache Kafka.  El objetivo n° 1 de la posición es desarrollar sistemas para mejorar la performance de recomendaciones y monitorear más funcionalidades. Desarrollar sistemas en Java: APIs Consumers/Producers y otros servicios.Deployar bases de datos: MySQL MongoDB Cassandra.Hacer análisis de datos: Python Jupyter Notebook.  Experiencia previa necesaria:Graduado o estudiante de: Ciencias de la computación ingeniería en sistemas o afines.Poseer al menos 2 de experiencia en las siguientes tecnologías:Java PythonSpringConcurrenciaBase de datos relacionales (MySQL) y no relacionales (Cassandra MongoDB) Apache Kafka HTTP API REST Beneficios:El lugar de trabajo es fulltime en nuestras oficinas que se encuentran en Nuñez y te ofrecemos como principales beneficios:Excelente clima laboral y oportunidad de desarrollo profesionalObra Social incluyendo grupo familiar (OSDE o SMG)Día de cumpleaños libre viernes Flex y semana extra de vacacionesSemana Navent (días libres entre las fiestas)50% de descuento en MegatlonMúltiples descuentosRefrigeriosSi queres formar parte de un equipo Dinámico Orientado a resultados Innovador y en constante crecimiento ¡Postúlate a nuestra búsqueda y súmate a nuestro staff!#somosnavent

			El contenido de este aviso es de propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Zonajobs sea responsable por ello.","Navent","Capital Federal Buenos Aires","Publicado hace 19 días","Full-time","Programación"
"https://www.zonajobs.com.ar/empleos/programador-php-sr-ssr-1889766.html?indiceAviso=3","Programador PHP Sr / Ssr","Agencia Digital incorpora Programadores PHP en su equipo de trabajo.Principales responsabilidades: Desarrollo de proyectos web y mobile para diversos clientes tanto locales como del exterior. Mantenimiento correctivo y Evolutivo. Conexiones y Setup de base de datosRequisitos Excluyentes:Experiencia en la posición superior a 2 años con dominio de:PHPFramework Symfony Laravel Zend o similarRequisitos Deseables:Dominio Pyhton / DjangoManejo de LinuxPuesto efectivo y full time en CABA  días homeoffice - prepaga - bono anual - Muy buen clima laboral.  

			El contenido de este aviso es de propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Zonajobs sea responsable por ello.","Confidencial","Capital Federal Buenos Aires","Publicado hace 2 días","Full-time","Programación"
"https://www.zonajobs.com.ar/empleos/desarrollador-fullstack-con-mean-fegma-recruitment-1884967.html?indiceAviso=4","Desarrollador Fullstack con MEAN","Skills necesarios:-MongoDB -Express -Angular -NodeBeneficios:- Medicina Privada para todo el grupo familiar - Gimnasio - Masajes - Clases de inglés online- Área de juegos y recreación - Desayunos + Frutas- home office- horario flexibleUbicación: •    Puerto Madero •    On-site •    Lunes a Viernes de 9 a 18 hs •    Home-Office: 1 semana

			El contenido de este aviso es de propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Zonajobs sea responsable por ello.","Fegma Recruitment","Capital Federal Buenos Aires","Publicado hace 3 días","Full-time","Programación"
